begin,end
1,1
2,9
10,15
16,23
24,27
28,38
39,44
45,49
50,52
53,53
54,63
64,64
65,72
73,92
93,99
100,100
101,107
108,109
110,121
122,129
130,140
141,144
145,145
146,150
151,159
160,165
166,173
174,175
176,183
184,191
192,204
205,209
210,211
212,219
220,223
224,229
230,232
233,242
243,243
244,249
250,255
256,264
265,270
271,279
280,288
289,292
293,295
296,301
302,317
318,322
323,326
327,329
330,331
332,334
335,336
337,346
347,352
353,357
358,408
409,415
416,428
429,432
433,442
443,448
449,449
450,450
